id,product_name,category,base_price
92,Headphones,Electronics,155.69
93,Cable,Accessories,61.11
94,Mouse,Computing,391.4
95,Monitor,Computing,87.65
96,Laptop,Accessories,418.43
97,Adapter,Computing,422.96
98,Webcam,Electronics,129.28
99,Laptop,Electronics,218.94
100,Headphones,Electronics,309.21
101,Microphone,Accessories,159.36
102,Keyboard,Accessories,68.66
103,Microphone,Accessories,57.26
104,Keyboard,Accessories,371.1
105,Mouse,Accessories,490.71
106,Mouse,Electronics,466.26
107,Microphone,Electronics,43.37
108,Cable,Electronics,463.66
109,Headphones,Computing,58.59
110,Keyboard,Electronics,125.35
111,Microphone,Computing,89.14
112,Keyboard,Accessories,242.78
113,Mouse,Electronics,202.96
114,Cable,Computing,242.99
115,Laptop,Electronics,213.93
116,Keyboard,Computing,227.91
117,Cable,Computing,384.74
118,Cable,Electronics,124.85
119,Webcam,Computing,114.88
120,Webcam,Computing,364.93
121,Headphones,Computing,66.17
122,Keyboard,Electronics,428.73
123,Mouse,Accessories,338.24
124,Cable,Accessories,316.34
125,Microphone,Electronics,172.53
126,Speaker,Accessories,318.26
127,Cable,Computing,19.95
128,Keyboard,Electronics,55.71
129,Cable,Accessories,209.71
130,Cable,Accessories,411.08
131,Monitor,Computing,50.42
132,Mouse,Electronics,256.89
133,Laptop,Computing,159.44
134,Webcam,Electronics,195.56
135,Monitor,Computing,361.53
136,Keyboard,Computing,227.31
137,Keyboard,Accessories,241.94
138,Cable,Accessories,122.62
139,Speaker,Computing,53.77
140,Cable,Accessories,364.28
141,Laptop,Accessories,356.51
142,Headphones,Electronics,46.02
143,Mouse,Computing,386.36
144,Headphones,Electronics,179.24
145,Cable,Electronics,75.19
146,Webcam,Electronics,165.1
147,Keyboard,Accessories,408.8
148,Keyboard,Computing,197.95
149,Microphone,Accessories,168.66
150,Microphone,Electronics,92.91
151,Headphones,Accessories,138.87
152,Webcam,Computing,327.62
153,Adapter,Electronics,461.47
154,Webcam,Accessories,196.01
155,Keyboard,Computing,114.16
156,Speaker,Electronics,434.08
157,Webcam,Electronics,378.31
158,Microphone,Electronics,58.83
159,Cable,Accessories,47.22
160,Headphones,Computing,310.33
161,Headphones,Accessories,242.6
162,Mouse,Electronics,436.79
163,Cable,Accessories,289.86
164,Mouse,Electronics,310.65
165,Microphone,Electronics,445.74
166,Webcam,Electronics,10.06
167,Mouse,Computing,24.66
168,Mouse,Electronics,267.15
169,Laptop,Accessories,315.44
170,Mouse,Computing,380.46
171,Adapter,Electronics,183.55
172,Headphones,Accessories,32.34
173,Mouse,Electronics,483.76
174,Speaker,Electronics,170.68
175,Speaker,Computing,427.32
176,Adapter,Computing,152.79
177,Cable,Computing,86.6
178,Headphones,Computing,182.58
179,Laptop,Computing,218.6
180,Keyboard,Accessories,108.02
181,Cable,Electronics,397.51
182,Monitor,Computing,259.53
183,Microphone,Computing,144.53
184,Laptop,Computing,86.64
185,Microphone,Electronics,200.01
186,Cable,Accessories,392.82
187,Adapter,Electronics,250.27
188,Mouse,Electronics,414.69
189,Keyboard,Electronics,217.31
190,Microphone,Computing,276.18
191,Monitor,Accessories,132.61
192,Monitor,Accessories,40.57
193,Monitor,Computing,198.28
194,Speaker,Electronics,230.86
195,Adapter,Computing,481.6
196,Headphones,Computing,150.82
197,Keyboard,Electronics,245.56
198,Headphones,Accessories,196.74
199,Monitor,Accessories,179.04
200,Headphones,Computing,412.43
201,Cable,Electronics,238.27
202,Adapter,Electronics,448.08
203,Headphones,Computing,14.78
204,Monitor,Accessories,164.83
205,Speaker,Accessories,475.44
206,Keyboard,Computing,27.37
207,Keyboard,Accessories,19.97
208,Headphones,Accessories,343.1
209,Mouse,Electronics,271.8
210,Adapter,Electronics,226.71
211,Adapter,Electronics,234.0
212,Monitor,Accessories,220.29
213,Adapter,Computing,393.79
214,Keyboard,Electronics,365.5
215,Webcam,Accessories,220.73
216,Microphone,Electronics,169.77
217,Cable,Accessories,371.18
218,Speaker,Electronics,342.63
219,Headphones,Accessories,144.21
220,Keyboard,Computing,162.17
221,Headphones,Electronics,157.07
222,Speaker,Accessories,228.46
223,Cable,Computing,305.26
224,Webcam,Computing,248.42
225,Microphone,Electronics,373.28
226,Cable,Electronics,238.94
227,Adapter,Computing,85.68
228,Webcam,Computing,77.04
229,Mouse,Computing,423.45
230,Keyboard,Accessories,179.16
231,Adapter,Accessories,154.19
232,Speaker,Electronics,497.7
233,Monitor,Electronics,254.54
234,Speaker,Computing,439.55
235,Webcam,Computing,171.27
236,Keyboard,Electronics,376.89
237,Speaker,Electronics,140.78
238,Laptop,Computing,227.65
239,Speaker,Computing,285.84
240,Microphone,Electronics,215.02
241,Headphones,Electronics,255.59
242,Monitor,Accessories,321.52
243,Headphones,Computing,464.82
244,Mouse,Computing,27.94
245,Webcam,Electronics,194.3
246,Microphone,Computing,348.65
247,Webcam,Electronics,57.75
248,Speaker,Computing,481.33
249,Microphone,Computing,173.01
250,Speaker,Computing,387.42
251,Mouse,Accessories,490.53
252,Webcam,Electronics,296.92
253,Webcam,Electronics,245.67
254,Mouse,Computing,482.15
255,Keyboard,Accessories,85.64
256,Webcam,Computing,477.48
257,Adapter,Electronics,345.96
258,Monitor,Electronics,140.94
259,Adapter,Accessories,417.68
260,Mouse,Computing,71.63
261,Adapter,Accessories,174.27
262,Adapter,Computing,432.44
263,Webcam,Accessories,165.23
264,Headphones,Computing,198.41
265,Speaker,Accessories,46.1
266,Headphones,Electronics,265.48
267,Monitor,Electronics,53.72
268,Laptop,Accessories,40.95
269,Speaker,Computing,261.17
270,Webcam,Computing,472.8
271,Speaker,Electronics,123.25
272,Monitor,Accessories,198.48
273,Speaker,Accessories,125.89
274,Microphone,Computing,23.05
275,Keyboard,Electronics,29.35
276,Mouse,Computing,14.67
277,Laptop,Electronics,86.49
278,Microphone,Electronics,89.62
279,Keyboard,Accessories,239.84
280,Microphone,Electronics,239.64
281,Cable,Computing,453.79
282,Laptop,Accessories,482.36
283,Laptop,Accessories,304.63
284,Keyboard,Electronics,217.0
285,Monitor,Computing,208.86
286,Mouse,Electronics,65.14
287,Keyboard,Computing,57.42
288,Laptop,Electronics,298.51
289,Laptop,Computing,215.28
290,Mouse,Computing,130.72
291,Cable,Electronics,36.34
292,Adapter,Computing,247.72
293,Adapter,Computing,437.08
294,Monitor,Electronics,410.3
295,Headphones,Computing,176.62
296,Adapter,Electronics,497.45
297,Mouse,Accessories,80.02
298,Mouse,Computing,22.33
299,Monitor,Accessories,57.09
300,Adapter,Electronics,332.49
301,Headphones,Accessories,41.26
302,Adapter,Computing,111.39
303,Cable,Electronics,36.27
304,Mouse,Accessories,295.05
305,Microphone,Computing,460.26
306,Keyboard,Electronics,401.33
307,Speaker,Computing,363.64
308,Speaker,Electronics,441.83
309,Cable,Accessories,253.97
310,Headphones,Accessories,420.3
311,Laptop,Electronics,246.79
312,Laptop,Electronics,313.67
313,Adapter,Electronics,82.03
314,Monitor,Computing,40.42
315,Webcam,Computing,151.51
316,Adapter,Computing,115.08
317,Headphones,Electronics,486.18
318,Keyboard,Computing,147.3
319,Keyboard,Accessories,65.3
320,Monitor,Accessories,390.35
321,Laptop,Electronics,249.09
322,Webcam,Accessories,47.1
323,Speaker,Computing,460.41
324,Headphones,Computing,475.02
325,Adapter,Electronics,173.31
326,Speaker,Accessories,429.87
327,Cable,Computing,212.14
328,Monitor,Electronics,327.82
329,Webcam,Computing,481.59
330,Keyboard,Electronics,92.24
331,Adapter,Computing,465.06
332,Speaker,Accessories,54.34
333,Keyboard,Electronics,387.02
334,Laptop,Accessories,134.42
335,Speaker,Computing,100.93
336,Speaker,Electronics,124.7
337,Microphone,Accessories,320.21
338,Cable,Electronics,441.42
339,Microphone,Electronics,349.77
340,Headphones,Accessories,204.25
341,Cable,Electronics,241.36
342,Microphone,Accessories,146.06
343,Microphone,Electronics,46.29
344,Headphones,Electronics,269.63
345,Laptop,Electronics,117.8
346,Cable,Computing,206.79
347,Laptop,Accessories,250.4
348,Keyboard,Accessories,89.44
349,Cable,Electronics,325.96
350,Adapter,Computing,276.59
351,Webcam,Electronics,98.16
352,Speaker,Electronics,447.92
353,Webcam,Computing,369.73
354,Mouse,Computing,390.86
355,Laptop,Electronics,37.86
356,Microphone,Accessories,243.29
357,Laptop,Computing,74.66
358,Cable,Electronics,89.65
359,Cable,Accessories,272.51
360,Mouse,Accessories,490.42
361,Monitor,Electronics,115.13
362,Keyboard,Computing,61.61
363,Mouse,Accessories,30.75
364,Monitor,Accessories,175.05
365,Microphone,Computing,474.28
366,Headphones,Accessories,16.37
367,Keyboard,Electronics,94.51
368,Headphones,Computing,497.22
369,Speaker,Accessories,464.11
370,Mouse,Computing,318.37
371,Headphones,Accessories,267.51
372,Speaker,Computing,141.86
373,Cable,Electronics,486.03
374,Mouse,Electronics,326.69
375,Speaker,Accessories,186.27
376,Adapter,Accessories,40.75
377,Webcam,Computing,450.77
378,Microphone,Electronics,492.36
379,Cable,Electronics,11.85
380,Cable,Computing,312.25
381,Monitor,Accessories,289.93
382,Monitor,Electronics,199.12
383,Mouse,Electronics,130.79
384,Mouse,Computing,361.87
385,Mouse,Computing,277.27
386,Headphones,Accessories,32.36
387,Headphones,Accessories,136.13
388,Keyboard,Accessories,288.69
389,Speaker,Computing,408.22
390,Laptop,Computing,121.44
391,Headphones,Accessories,277.43
392,Laptop,Accessories,442.53
393,Cable,Computing,338.48
394,Cable,Electronics,495.12
395,Speaker,Accessories,97.13
396,Microphone,Electronics,37.51
397,Mouse,Accessories,364.13
398,Speaker,Accessories,43.7
399,Keyboard,Computing,196.68
400,Mouse,Computing,219.63
401,Speaker,Computing,473.31
402,Microphone,Computing,283.24
403,Headphones,Electronics,371.75
404,Keyboard,Electronics,354.44
405,Webcam,Accessories,142.2
406,Microphone,Computing,50.77
407,Cable,Accessories,268.89
408,Microphone,Computing,48.9
409,Keyboard,Electronics,438.67
410,Headphones,Electronics,445.43
411,Laptop,Computing,449.42
412,Laptop,Electronics,22.73
413,Keyboard,Electronics,410.37
414,Headphones,Computing,232.03
415,Microphone,Electronics,162.19
416,Cable,Accessories,396.78
417,Laptop,Accessories,208.25
418,Cable,Computing,207.48
419,Monitor,Accessories,86.2
420,Headphones,Electronics,267.7
421,Speaker,Computing,75.56
422,Cable,Computing,382.31
423,Adapter,Electronics,176.67
424,Monitor,Electronics,346.87
425,Cable,Computing,322.11
426,Adapter,Electronics,142.26
427,Headphones,Accessories,93.5
428,Laptop,Electronics,48.35
429,Keyboard,Accessories,407.77
430,Webcam,Accessories,262.18
431,Keyboard,Electronics,14.89
432,Laptop,Accessories,109.24
433,Headphones,Electronics,193.46
434,Laptop,Electronics,26.92
435,Headphones,Electronics,387.23
436,Webcam,Electronics,224.02
437,Headphones,Electronics,403.56
438,Cable,Computing,425.31
439,Adapter,Electronics,153.45
440,Keyboard,Computing,151.45
441,Headphones,Computing,338.89
442,Monitor,Electronics,43.21
443,Mouse,Electronics,444.78
444,Keyboard,Electronics,27.56
445,Headphones,Electronics,175.36
446,Microphone,Computing,207.77
447,Monitor,Accessories,220.03
448,Monitor,Computing,292.24
449,Microphone,Electronics,444.0
450,Mouse,Computing,382.0
451,Cable,Computing,406.31
452,Monitor,Accessories,478.12
453,Webcam,Electronics,278.34
454,Webcam,Computing,283.65
455,Laptop,Computing,374.37
456,Headphones,Electronics,477.09
457,Cable,Electronics,11.74
458,Laptop,Computing,125.8
459,Mouse,Electronics,259.61
460,Headphones,Computing,470.9
461,Microphone,Electronics,333.35
462,Speaker,Computing,181.89
463,Mouse,Computing,120.51
464,Cable,Electronics,294.14
465,Keyboard,Accessories,463.18
466,Microphone,Accessories,43.03
467,Laptop,Computing,86.15
468,Laptop,Accessories,248.64
469,Cable,Accessories,73.07
470,Cable,Computing,295.44
471,Microphone,Accessories,31.2
472,Mouse,Electronics,478.53
473,Headphones,Computing,346.04
474,Webcam,Accessories,18.25
475,Adapter,Computing,56.28
476,Keyboard,Accessories,85.27
477,Cable,Electronics,352.43
478,Monitor,Computing,244.19
479,Webcam,Electronics,368.47
480,Webcam,Computing,386.72
481,Mouse,Computing,171.0
482,Microphone,Electronics,205.54
483,Monitor,Accessories,163.32
484,Speaker,Computing,474.08
485,Microphone,Accessories,186.15
486,Cable,Accessories,53.86
487,Speaker,Computing,271.55
488,Speaker,Electronics,383.65
489,Microphone,Accessories,373.46
490,Headphones,Computing,114.19
491,Cable,Electronics,325.4
492,Mouse,Electronics,489.96
493,Microphone,Accessories,112.49
494,Microphone,Computing,106.39
495,Mouse,Computing,219.14
496,Mouse,Electronics,279.59
497,Cable,Computing,220.1
498,Microphone,Electronics,145.15
499,Keyboard,Computing,37.94
500,Adapter,Computing,252.77
501,Adapter,Computing,303.83
502,Headphones,Electronics,110.81
503,Speaker,Computing,330.39
504,Microphone,Electronics,306.67
505,Keyboard,Accessories,114.38
506,Microphone,Computing,412.4
507,Webcam,Computing,360.0
508,Webcam,Accessories,152.91
509,Laptop,Computing,338.99
510,Headphones,Electronics,404.62
511,Keyboard,Computing,498.42
512,Adapter,Accessories,341.97
513,Adapter,Computing,179.24
514,Adapter,Electronics,193.26
515,Keyboard,Electronics,81.14
516,Microphone,Electronics,131.8
517,Adapter,Electronics,438.83
518,Mouse,Computing,468.91
519,Monitor,Electronics,442.12
520,Headphones,Accessories,183.16
521,Mouse,Computing,121.95
522,Keyboard,Computing,251.91
523,Mouse,Accessories,100.05
524,Keyboard,Accessories,135.18
525,Webcam,Accessories,410.24
526,Cable,Electronics,207.19
527,Cable,Computing,326.9
528,Adapter,Accessories,152.11
529,Mouse,Computing,415.21
530,Keyboard,Accessories,192.95
531,Adapter,Computing,35.17
532,Adapter,Computing,193.96
533,Cable,Computing,328.9
534,Monitor,Accessories,391.72
535,Speaker,Accessories,57.54
536,Adapter,Computing,461.7
537,Mouse,Accessories,378.68
538,Monitor,Accessories,359.51
539,Adapter,Accessories,95.56
540,Mouse,Computing,84.2
541,Keyboard,Electronics,323.66
542,Speaker,Electronics,440.13
543,Microphone,Accessories,443.15
544,Microphone,Electronics,77.44
545,Adapter,Electronics,138.3
546,Cable,Accessories,383.63
547,Cable,Electronics,446.62
548,Microphone,Computing,364.29
549,Speaker,Accessories,201.51
550,Webcam,Electronics,440.32
551,Mouse,Accessories,338.71
552,Headphones,Computing,439.82
553,Adapter,Accessories,214.9
554,Keyboard,Electronics,129.93
555,Laptop,Computing,487.89
556,Microphone,Computing,222.58
557,Webcam,Electronics,191.56
558,Cable,Electronics,217.32
559,Mouse,Accessories,195.59
560,Webcam,Computing,404.68
561,Adapter,Electronics,107.45
562,Mouse,Electronics,330.16
563,Speaker,Electronics,66.61
564,Mouse,Electronics,435.93
565,Speaker,Electronics,294.09
566,Keyboard,Electronics,139.98
567,Headphones,Accessories,168.72
568,Cable,Computing,170.51
569,Monitor,Accessories,51.14
570,Laptop,Computing,196.2
571,Microphone,Computing,349.88
572,Adapter,Accessories,379.54
573,Laptop,Electronics,496.66
574,Webcam,Accessories,198.85
575,Mouse,Electronics,317.83
576,Cable,Electronics,318.86
577,Adapter,Accessories,245.87
578,Monitor,Computing,124.67
579,Monitor,Computing,419.46
580,Speaker,Accessories,51.85
581,Keyboard,Electronics,383.93
582,Keyboard,Electronics,418.71
583,Laptop,Electronics,453.1
584,Cable,Computing,274.62
585,Cable,Accessories,489.06
586,Cable,Electronics,478.48
587,Speaker,Electronics,326.31
588,Mouse,Accessories,160.28
589,Monitor,Computing,379.79
590,Mouse,Electronics,439.05
591,Speaker,Electronics,42.63
592,Webcam,Computing,410.62
593,Keyboard,Accessories,87.15
594,Monitor,Accessories,188.34
595,Mouse,Accessories,241.21
596,Adapter,Accessories,108.18
597,Headphones,Accessories,465.74
598,Keyboard,Computing,385.81
599,Monitor,Electronics,346.81
600,Monitor,Computing,93.33
601,Adapter,Accessories,492.71
602,Laptop,Electronics,62.33
603,Laptop,Computing,286.5
604,Speaker,Computing,52.83
605,Mouse,Computing,194.73
606,Keyboard,Accessories,395.96
607,Headphones,Accessories,364.15
608,Headphones,Computing,99.22
609,Adapter,Electronics,63.88
610,Headphones,Accessories,255.1
611,Cable,Electronics,137.5
612,Keyboard,Accessories,41.52
613,Laptop,Accessories,86.23
614,Laptop,Electronics,424.22
615,Keyboard,Electronics,157.94
616,Webcam,Computing,201.48
617,Keyboard,Electronics,144.04
618,Speaker,Computing,351.03
619,Adapter,Accessories,277.43
620,Speaker,Computing,253.34
621,Adapter,Electronics,471.53
622,Speaker,Accessories,466.37
623,Microphone,Computing,40.43
624,Webcam,Computing,424.38
625,Cable,Computing,408.27
626,Cable,Electronics,214.26
627,Laptop,Computing,350.19
628,Headphones,Computing,30.04
629,Monitor,Accessories,85.69
630,Monitor,Computing,431.76
631,Laptop,Computing,354.92
632,Mouse,Electronics,60.29
633,Mouse,Electronics,18.22
634,Cable,Accessories,451.64
635,Laptop,Accessories,134.15
636,Keyboard,Computing,47.01
637,Laptop,Electronics,231.09
638,Cable,Accessories,302.05
639,Keyboard,Accessories,54.2
640,Headphones,Computing,440.09
641,Keyboard,Electronics,346.21
642,Microphone,Computing,57.51
643,Monitor,Electronics,11.59
644,Microphone,Accessories,372.97
645,Speaker,Electronics,449.14
646,Webcam,Accessories,269.15
647,Monitor,Electronics,347.55
648,Monitor,Electronics,473.84
649,Keyboard,Electronics,327.75
650,Headphones,Electronics,415.75
651,Speaker,Electronics,81.43
652,Keyboard,Accessories,157.95
653,Speaker,Accessories,398.61
654,Webcam,Computing,432.8
655,Mouse,Electronics,367.35
656,Microphone,Electronics,164.39
657,Headphones,Computing,97.14
658,Keyboard,Accessories,408.32
659,Microphone,Computing,212.77
660,Speaker,Computing,493.28
661,Webcam,Electronics,348.55
662,Cable,Electronics,305.42
663,Webcam,Electronics,485.51
664,Cable,Electronics,132.62
665,Microphone,Computing,249.97
666,Headphones,Electronics,209.09
667,Headphones,Electronics,486.65
668,Monitor,Computing,475.58
669,Mouse,Computing,350.66
670,Headphones,Computing,376.3
671,Cable,Accessories,243.49
672,Cable,Accessories,314.91
673,Monitor,Electronics,299.14
674,Keyboard,Accessories,182.69
675,Mouse,Accessories,281.03
676,Keyboard,Accessories,273.89
677,Speaker,Electronics,35.21
678,Webcam,Computing,399.34
679,Microphone,Electronics,344.33
680,Laptop,Computing,309.77
681,Adapter,Accessories,17.87
682,Speaker,Computing,95.92
683,Headphones,Computing,444.04
684,Laptop,Computing,441.83
685,Mouse,Electronics,364.4
686,Adapter,Electronics,32.14
687,Headphones,Electronics,118.37
688,Headphones,Electronics,197.98
689,Keyboard,Accessories,201.56
690,Keyboard,Computing,478.12
691,Cable,Computing,98.52
692,Cable,Electronics,208.68
693,Mouse,Accessories,141.73
694,Microphone,Electronics,64.74
695,Headphones,Computing,163.59
696,Mouse,Computing,10.37
697,Laptop,Accessories,206.2
698,Monitor,Accessories,224.23
699,Microphone,Electronics,251.53
700,Speaker,Accessories,17.4
701,Webcam,Electronics,175.26
702,Cable,Accessories,264.04
703,Microphone,Electronics,65.98
704,Headphones,Electronics,36.82
705,Mouse,Accessories,350.21
706,Adapter,Computing,128.79
707,Monitor,Computing,26.55
708,Webcam,Accessories,352.16
709,Mouse,Electronics,415.07
710,Mouse,Accessories,294.74
711,Headphones,Electronics,352.65
712,Headphones,Electronics,241.35
713,Webcam,Computing,477.12
714,Webcam,Accessories,157.38
715,Speaker,Computing,144.9
716,Laptop,Accessories,316.57
717,Laptop,Accessories,164.44
718,Webcam,Computing,142.15
719,Headphones,Computing,181.7
720,Headphones,Computing,148.88
721,Keyboard,Computing,192.85
722,Cable,Accessories,216.34
723,Monitor,Accessories,439.38
724,Laptop,Accessories,78.04
725,Microphone,Electronics,246.69
726,Webcam,Computing,296.69
727,Cable,Accessories,89.2
728,Headphones,Computing,491.25
729,Monitor,Electronics,75.67
730,Cable,Accessories,440.13
731,Microphone,Accessories,246.61
732,Adapter,Electronics,181.02
733,Laptop,Computing,159.1
734,Webcam,Accessories,78.78
735,Webcam,Electronics,404.45
736,Cable,Computing,20.02
737,Mouse,Accessories,133.41
738,Webcam,Electronics,382.15
739,Adapter,Computing,418.91
740,Mouse,Computing,338.79
741,Laptop,Electronics,413.21
742,Cable,Computing,350.55
743,Adapter,Computing,130.88
744,Headphones,Computing,240.42
745,Adapter,Accessories,465.81
746,Cable,Computing,397.96
747,Adapter,Accessories,131.94
748,Webcam,Electronics,244.08
749,Keyboard,Electronics,489.37
750,Monitor,Computing,180.79
751,Microphone,Electronics,172.87
752,Headphones,Electronics,476.81
753,Headphones,Accessories,499.19
754,Laptop,Accessories,304.04
755,Headphones,Electronics,132.12
756,Laptop,Electronics,100.41
757,Microphone,Computing,116.19
758,Speaker,Accessories,160.42
759,Cable,Accessories,63.84
760,Microphone,Computing,178.01
761,Cable,Computing,270.84
762,Speaker,Computing,463.74
763,Microphone,Accessories,482.49
764,Laptop,Computing,132.15
765,Adapter,Electronics,487.65
766,Laptop,Accessories,490.14
767,Monitor,Accessories,268.16
768,Monitor,Electronics,130.88
769,Laptop,Accessories,360.95
770,Microphone,Accessories,286.14
771,Headphones,Computing,380.31
772,Adapter,Accessories,137.74
773,Webcam,Computing,92.13
774,Cable,Computing,326.62
775,Cable,Accessories,133.61
776,Cable,Computing,317.64
777,Monitor,Accessories,328.72
778,Adapter,Accessories,401.98
779,Webcam,Accessories,222.84
780,Mouse,Electronics,246.53
781,Cable,Electronics,186.75
782,Keyboard,Electronics,230.93
783,Keyboard,Accessories,377.56
784,Keyboard,Electronics,20.03
785,Microphone,Electronics,143.83
786,Speaker,Electronics,202.63
787,Monitor,Computing,200.97
788,Speaker,Electronics,20.87
789,Adapter,Accessories,496.2
790,Monitor,Electronics,462.43
791,Monitor,Computing,95.16
792,Mouse,Electronics,19.51
793,Laptop,Computing,390.74
794,Speaker,Electronics,212.64
795,Monitor,Electronics,429.27
796,Laptop,Accessories,179.49
797,Microphone,Computing,85.74
798,Cable,Computing,50.49
799,Webcam,Computing,409.46
800,Cable,Computing,445.0
801,Speaker,Electronics,69.24
802,Mouse,Computing,452.25
803,Headphones,Computing,343.53
804,Monitor,Computing,156.05
805,Keyboard,Electronics,335.08
806,Adapter,Accessories,434.37
807,Cable,Electronics,120.04
808,Monitor,Computing,136.05
809,Laptop,Accessories,174.76
810,Webcam,Electronics,333.06
811,Webcam,Electronics,33.14
812,Mouse,Accessories,268.83
813,Monitor,Accessories,397.36
814,Speaker,Electronics,12.91
815,Mouse,Accessories,273.42
816,Laptop,Accessories,454.6
817,Monitor,Computing,41.25
818,Mouse,Electronics,89.09
819,Microphone,Accessories,304.23
820,Microphone,Electronics,288.75
821,Mouse,Accessories,82.98
822,Webcam,Computing,478.16
823,Headphones,Electronics,458.4
824,Webcam,Computing,254.95
825,Mouse,Computing,254.79
826,Cable,Electronics,498.51
827,Mouse,Accessories,142.91
828,Mouse,Accessories,116.18
829,Adapter,Electronics,264.24
830,Headphones,Electronics,48.06
831,Speaker,Electronics,385.78
832,Adapter,Electronics,291.63
833,Webcam,Electronics,248.57
834,Cable,Electronics,379.11
835,Speaker,Electronics,335.41
836,Webcam,Computing,44.79
837,Microphone,Computing,273.36
838,Speaker,Electronics,235.87
839,Speaker,Computing,269.67
840,Cable,Computing,83.87
841,Webcam,Computing,266.65
842,Headphones,Accessories,117.85
843,Webcam,Accessories,54.79
844,Monitor,Accessories,131.7
845,Laptop,Electronics,49.18
846,Cable,Accessories,44.08
847,Monitor,Electronics,82.07
848,Cable,Computing,290.57
849,Microphone,Accessories,141.66
850,Mouse,Accessories,260.52
851,Cable,Electronics,378.11
852,Speaker,Accessories,110.16
853,Webcam,Electronics,497.24
854,Monitor,Computing,356.97
855,Keyboard,Electronics,129.76
856,Mouse,Accessories,357.59
857,Keyboard,Electronics,430.61
858,Monitor,Computing,185.23
859,Microphone,Computing,52.97
860,Webcam,Electronics,226.88
861,Mouse,Computing,438.49
862,Adapter,Accessories,23.92
863,Mouse,Electronics,132.68
864,Cable,Accessories,126.01
865,Webcam,Accessories,368.14
866,Adapter,Accessories,94.42
867,Speaker,Accessories,81.81
868,Webcam,Computing,30.31
869,Adapter,Computing,476.03
870,Adapter,Accessories,432.81
871,Speaker,Computing,16.45
872,Speaker,Accessories,295.99
873,Mouse,Accessories,183.98
874,Monitor,Electronics,355.44
875,Laptop,Computing,151.13
876,Mouse,Computing,441.89
877,Mouse,Computing,12.66
878,Mouse,Electronics,209.16
879,Mouse,Electronics,284.66
880,Keyboard,Electronics,19.55
881,Keyboard,Electronics,471.44
882,Speaker,Electronics,438.27
883,Laptop,Electronics,59.66
884,Webcam,Accessories,143.46
885,Laptop,Computing,291.0
886,Webcam,Accessories,387.33
887,Headphones,Accessories,190.29
888,Adapter,Computing,282.45
889,Laptop,Computing,60.46
890,Headphones,Electronics,106.44
891,Microphone,Electronics,114.86
892,Keyboard,Accessories,423.61
893,Adapter,Accessories,218.42
